"","Date","wf1 forecast","wf2 forecast","wf3 forecast","wf4 forecast"
"1",2011-01-01 00:00:00,0.650595531657558,0.191081060056246,0.947056227159404,0.621957724623215
"2",2011-01-01 01:00:00,0.632523102939599,0.169114207784531,0.918604390242778,0.573133615720772
"3",2011-01-01 02:00:00,0.617462418136064,0.155153548556856,0.891826996198529,0.536632271947648
"4",2011-01-01 03:00:00,0.607368574980508,0.146439662149464,0.865278588958872,0.511329979651418
"5",2011-01-01 04:00:00,0.594348973969171,0.141365806842175,0.84007031097955,0.486257683139542
"6",2011-01-01 05:00:00,0.578519235204352,0.138589924747463,0.815421265978389,0.459548103946563
"7",2011-01-01 06:00:00,0.569638658840057,0.137140649954433,0.790138989198276,0.442502444671287
"8",2011-01-01 07:00:00,0.564566397849293,0.136407714904049,0.764120478172065,0.446514060653207
"9",2011-01-01 08:00:00,0.567242246824421,0.136044447311418,0.737133784444119,0.447029594128653
"10",2011-01-01 09:00:00,0.56776869566346,0.135866548687725,0.708914151973076,0.445523222574969
"11",2011-01-01 10:00:00,0.562275041849956,0.1357800195897,0.679563247546498,0.439365688241064
"12",2011-01-01 11:00:00,0.554832980994033,0.135738087868377,0.649419306991243,0.417273295030475
"13",2011-01-01 12:00:00,0.538487667755752,0.135717807520045,0.619104769756471,0.397838184808765
"14",2011-01-01 13:00:00,0.524350383441296,0.135708008727105,0.589491593201988,0.390764288393112
"15",2011-01-01 14:00:00,0.499931483676457,0.135703276667297,0.561524279475141,0.386216571076642
"16",2011-01-01 15:00:00,0.465854167489379,0.135700992022083,0.536030038665795,0.37547069464687
"17",2011-01-01 16:00:00,0.421294269614078,0.135699889128447,0.51346802067861,0.36852843403814
"18",2011-01-01 17:00:00,0.384162357153544,0.135699356747791,0.493748736949587,0.369803040892527
"19",2011-01-01 18:00:00,0.355997786169564,0.135699099768486,0.47629255710544,0.360123351291289
"20",2011-01-01 19:00:00,0.349289842853566,0.135698975726745,0.460260531697202,0.353697448810228
"21",2011-01-01 20:00:00,0.345916040722079,0.135698915853257,0.444797044695238,0.346515891219234
"22",2011-01-01 21:00:00,0.345070114136518,0.135698886953125,0.429167490283975,0.339031948654407
"23",2011-01-01 22:00:00,0.336155568704866,0.135698873003441,0.412757393495247,0.329698909961032
