"","Date","wf1 forecast","wf2 forecast","wf3 forecast","wf4 forecast","wf5 forecast","wf6 forecast","wf7 forecast"
"1",2011-01-01 00:00:00,0.650595531657558,0.191081060056246,0.947056227159404,0.621957724623215,0.824834468172705,0.866016094778521,0.805323441191094
"2",2011-01-01 01:00:00,0.632523102939599,0.169114207784531,0.918604390242778,0.573133615720772,0.791532027800478,0.844881966699454,0.769052181593759
"3",2011-01-01 02:00:00,0.617462418136064,0.155153548556856,0.891826996198529,0.536632271947648,0.749754995134005,0.823510840460219,0.731837829370034
"4",2011-01-01 03:00:00,0.607368574980508,0.146439662149464,0.865278588958872,0.511329979651418,0.695851983718426,0.801624810010154,0.69100694057361
"5",2011-01-01 04:00:00,0.594348973969171,0.141365806842175,0.84007031097955,0.486257683139542,0.63609800234662,0.777691159586122,0.640616670241166
"6",2011-01-01 05:00:00,0.578519235204352,0.138589924747463,0.815421265978389,0.459548103946563,0.575169228922306,0.751772365241488,0.597130880743021
"7",2011-01-01 06:00:00,0.569638658840057,0.137140649954433,0.790138989198276,0.442502444671287,0.518355355967592,0.725609602287938,0.556460636662933
"8",2011-01-01 07:00:00,0.564566397849293,0.136407714904049,0.764120478172065,0.446514060653207,0.470648743593864,0.699002745922478,0.527302123171295
"9",2011-01-01 08:00:00,0.567242246824421,0.136044447311418,0.737133784444119,0.447029594128653,0.432329892985878,0.672298789211086,0.505789250354577
"10",2011-01-01 09:00:00,0.56776869566346,0.135866548687725,0.708914151973076,0.445523222574969,0.402589909981655,0.646391564815575,0.491126307023127
"11",2011-01-01 10:00:00,0.562275041849956,0.1357800195897,0.679563247546498,0.439365688241064,0.379081477944402,0.621973941223619,0.482709882042368
"12",2011-01-01 11:00:00,0.554832980994033,0.135738087868377,0.649419306991243,0.417273295030475,0.358760517325446,0.599478426697976,0.478506139415286
"13",2011-01-01 12:00:00,0.538487667755752,0.135717807520045,0.619104769756471,0.397838184808765,0.338942029219702,0.579094563529207,0.47758455119558
"14",2011-01-01 13:00:00,0.524350383441296,0.135708008727105,0.589491593201988,0.390764288393112,0.317373721903729,0.560936080545516,0.480166681995075
"15",2011-01-01 14:00:00,0.499931483676457,0.135703276667297,0.561524279475141,0.386216571076642,0.292245831798503,0.544918372333143,0.484560765309395
"16",2011-01-01 15:00:00,0.465854167489379,0.135700992022083,0.536030038665795,0.37547069464687,0.262176507951687,0.530821889349065,0.489602914181904
"17",2011-01-01 16:00:00,0.421294269614078,0.135699889128447,0.51346802067861,0.36852843403814,0.228080677778697,0.518387255357826,0.494372400860596
